customer_key,customer_number,customer_name,age,purchasing_behavior_segment,age_segment,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,lifespan,average_order_value,average_monthly_spend
115,AW00011114,"Leslie Moreno",57,New,"45 - 70",2013-12-26,138,7,123,7,7,9,17.5714,13.6667
1037,AW00012036,"Summer Lopez",78,New,"above 70",2013-10-08,141,5,69,5,5,6,13.8000,11.5000
3313,AW00014312,"Claudia Lin",59,New,"45 - 70",2013-08-04,143,4,191,4,4,5,47.7500,38.2000
3957,AW00014956,"Krista Romero",56,Regular,"45 - 70",2013-03-18,147,4,4145,4,4,16,1036.2500,259.0625
1324,AW00012323,"Lawrence Alonso",63,VIP,"45 - 70",2013-05-15,145,11,10836,11,11,22,985.0909,492.5455
604,AW00011603,"Geoffrey Gonzalez",42,VIP,"20 - 45",2013-10-08,141,5,6767,5,5,20,1353.4000,338.3500
2561,AW00013560,"Andres Shan",44,VIP,"20 - 45",2013-08-24,142,5,6453,5,5,29,1290.6000,222.5172
200,AW00011199,"Jacqueline Bennett",67,New,"45 - 70",2013-10-17,140,6,132,6,6,6,22.0000,22.0000
1065,AW00012064,"John White",69,New,"45 - 70",2013-11-28,139,5,122,5,5,8,24.4000,15.2500
503,AW00011502,"Jared Peterson",44,New,"20 - 45",2014-01-27,137,42,1020,42,42,11,24.2857,92.7273
825,AW00011824,"Jill Martin",47,New,"45 - 70",2014-01-09,138,11,240,11,11,9,21.8182,26.6667
3503,AW00014502,"Katelyn Wright",81,New,"above 70",2013-09-29,141,5,122,5,5,6,24.4000,20.3333
3726,AW00014725,"Evan Morgan",53,New,"45 - 70",2013-12-09,139,10,319,10,10,8,31.9000,39.8750
1491,AW00012490,"Trisha He",53,New,"45 - 70",2013-09-03,142,8,168,8,8,5,21.0000,33.6000
3547,AW00014546,"Christina Sanchez",63,New,"45 - 70",2014-01-01,138,3,153,3,3,9,51.0000,17.0000
1829,AW00012828,"Carol Rubio",50,New,"45 - 70",2013-03-18,147,2,55,2,2,0,27.5000,55
846,AW00011845,"Natalie Jones",95,New,"above 70",2013-12-09,139,11,197,11,11,9,17.9091,21.8889
1532,AW00012531,"Autumn Xu",47,New,"45 - 70",2013-03-18,147,1,22,1,1,0,22.0000,22
2071,AW00013070,"Emma Clark",46,New,"45 - 70",2013-03-18,147,2,57,2,2,0,28.5000,57
1766,AW00012765,"Robyn Gill",65,New,"45 - 70",2013-03-18,147,2,1751,2,2,0,875.5000,1751
2067,AW00013066,"Carson Perry",45,Regular,"20 - 45",2013-03-18,147,5,3033,5,5,14,606.6000,216.6429
2891,AW00013890,"Jennifer Carter",47,New,"45 - 70",2013-03-18,147,4,2982,4,4,6,745.5000,497.0000
1170,AW00012169,"Abigail Howard",52,VIP,"45 - 70",2013-03-18,147,5,5948,5,5,16,1189.6000,371.7500
1173,AW00012172,"Eduardo Alexander",53,VIP,"45 - 70",2013-03-18,147,4,5930,4,4,15,1482.5000,395.3333
1185,AW00012184,"Isaiah Perez",59,VIP,"45 - 70",2013-03-18,147,3,5875,3,3,14,1958.3333,419.6429
1113,AW00012112,"Arianna Henderson",69,VIP,"45 - 70",2013-03-18,147,4,5930,4,4,15,1482.5000,395.3333
889,AW00011888,"Aaron Ross",55,New,"45 - 70",2013-03-18,147,3,2377,3,3,0,792.3333,2377
3736,AW00014735,"Maria Rogers",66,Regular,"45 - 70",2013-03-18,147,3,1854,3,3,19,618.0000,97.5789
2149,AW00013148,"Tyler Anderson",39,New,"20 - 45",2013-03-18,147,3,1137,3,3,0,379.0000,1137
1806,AW00012805,"Marvin Moreno",51,VIP,"45 - 70",2013-10-06,141,7,6522,7,7,23,931.7143,283.5652
1317,AW00012316,"Alejandro Luo",60,New,"45 - 70",2013-03-19,147,6,6799,6,6,9,1133.1667,755.4444
177,AW00011176,"Mason Roberts",46,New,"45 - 70",2014-01-27,137,60,1317,60,60,11,21.9500,119.7273
301,AW00011300,"Fernando Barnes",59,New,"45 - 70",2013-12-31,138,67,1499,67,67,11,22.3731,136.2727
2047,AW00013046,"Jonathan Rodriguez",67,New,"45 - 70",2013-07-02,144,3,65,3,3,3,21.6667,21.6667
3953,AW00014952,"Holly Srini",55,Regular,"45 - 70",2013-03-19,147,3,4153,3,3,15,1384.3333,276.8667
610,AW00011609,"Eugene Ye",43,VIP,"20 - 45",2013-11-23,139,9,6872,9,9,21,763.5556,327.2381
212,AW00011211,"Samantha Russell",64,New,"45 - 70",2014-01-07,138,33,792,33,33,11,24.0000,72.0000
521,AW00011520,"Jada Morgan",64,New,"45 - 70",2014-01-19,137,32,822,32,32,10,25.6875,82.2000
1929,AW00012928,"Carol Wright",50,New,"45 - 70",2013-11-03,140,10,247,10,10,7,24.7000,35.2857
2990,AW00013989,"Chloe Bradley",41,New,"20 - 45",2013-03-19,147,2,46,2,2,0,23.0000,46
3206,AW00014205,"Wesley Wu",72,New,"above 70",2013-03-19,147,1,33,1,1,0,33.0000,33
1869,AW00012868,"Julie Anand",44,New,"20 - 45",2013-03-19,147,1,33,1,1,0,33.0000,33
141,AW00011140,"Javier Alvarez",42,New,"20 - 45",2013-03-19,147,2,40,2,2,0,20.0000,40
1138,AW00012137,"Jack Green",87,New,"above 70",2013-05-11,146,4,92,4,4,1,23.0000,92.0000
1908,AW00012907,"Julia Bryant",48,New,"45 - 70",2013-03-19,147,2,142,2,2,0,71.0000,142
1467,AW00012466,"Willie He",52,New,"45 - 70",2013-03-19,147,2,59,2,2,0,29.5000,59
431,AW00011430,"Casey Yuan",67,New,"45 - 70",2013-03-19,147,2,85,2,2,0,42.5000,85
3108,AW00014107,"Alexandra Garcia",44,New,"20 - 45",2013-03-19,147,4,819,4,4,0,204.7500,819
1144,AW00012143,"Logan Turner",54,VIP,"45 - 70",2013-03-19,147,3,5993,3,3,16,1997.6667,374.5625
8,AW00011007,"Marco Mehta",55,VIP,"45 - 70",2013-03-19,147,8,8211,8,8,26,1026.3750,315.8077
12,AW00011011,"Curtis Lu",56,VIP,"45 - 70",2013-03-19,147,4,8133,4,4,26,2033.2500,312.8077
572,AW00011571,"Joel Sai",53,New,"45 - 70",2013-03-20,147,4,4390,4,4,3,1097.5000,1463.3333
870,AW00011869,"Kaitlyn Adams",41,New,"20 - 45",2014-01-16,137,14,268,14,14,9,19.1429,29.7778
3724,AW00014723,"Andrew Smith",44,New,"20 - 45",2013-06-20,144,5,88,5,5,3,17.6000,29.3333
3352,AW00014351,"Riley Gray",43,New,"20 - 45",2013-03-20,147,2,57,2,2,0,28.5000,57
3554,AW00014553,"Leah Ma",79,New,"above 70",2013-04-26,146,5,148,5,5,1,29.6000,148.0000
2833,AW00013832,"Priscilla Raji",43,New,"20 - 45",2013-03-20,147,2,24,2,2,0,12.0000,24
3531,AW00014530,"Ethan Smith",57,New,"45 - 70",2013-11-14,139,5,73,5,5,7,14.6000,10.4286
1490,AW00012489,"Wayne Rai",47,New,"45 - 70",2014-01-09,138,8,158,8,8,9,19.7500,17.5556
305,AW00011304,"Julia Garcia",54,New,"45 - 70",2013-04-22,146,5,122,5,5,1,24.4000,122.0000
2267,AW00013266,"Samuel Wang",63,New,"45 - 70",2013-03-20,147,2,30,2,2,0,15.0000,30
2928,AW00013927,"Gabriel Gonzales",56,New,"45 - 70",2013-03-20,147,3,3021,3,3,4,1007.0000,755.2500
1018,AW00012017,"David Simmons",43,New,"20 - 45",2013-03-20,147,3,2340,3,3,0,780.0000,2340
2969,AW00013968,"Lydia Sai",54,VIP,"45 - 70",2013-12-22,138,9,5181,9,9,17,575.6667,304.7647
1755,AW00012754,"Lindsey Deng",44,VIP,"20 - 45",2013-10-03,141,7,6503,7,7,23,929.0000,282.7391
3124,AW00014123,"Erick Mehta",40,New,"20 - 45",2013-07-15,143,3,62,3,3,3,20.6667,20.6667
719,AW00011718,"Sarah Jones",52,New,"45 - 70",2013-03-21,147,4,100,4,4,0,25.0000,100
3444,AW00014443,"Benjamin Wilson",54,New,"45 - 70",2013-03-21,147,1,22,1,1,0,22.0000,22
2551,AW00013550,"Joe Malhotra",50,New,"45 - 70",2013-03-21,147,1,70,1,1,0,70.0000,70
2611,AW00013610,"Omar Sharma",71,New,"above 70",2013-03-21,147,2,45,2,2,0,22.5000,45
1432,AW00012431,"Wyatt Thomas",64,New,"45 - 70",2014-01-08,138,8,224,8,8,9,28.0000,24.8889
541,AW00011540,"Alberto Navarro",55,VIP,"45 - 70",2013-03-21,147,5,5958,5,5,18,1191.6000,331.0000
537,AW00011536,"Logan Chow",56,VIP,"45 - 70",2013-03-21,147,5,5915,5,5,17,1183.0000,347.9412
1104,AW00012103,"Chloe White",64,VIP,"45 - 70",2013-03-21,147,6,5997,6,6,15,999.5000,399.8000
466,AW00011465,"Louis Luo",48,VIP,"45 - 70",2013-07-13,143,4,8158,4,4,23,2039.5000,354.6957
760,AW00011759,"Dawn Nath",44,VIP,"20 - 45",2013-07-09,144,3,8054,3,3,23,2684.6667,350.1739
1329,AW00012328,"Eugene Zhao",69,New,"45 - 70",2013-03-21,147,8,6792,8,8,9,849.0000,754.6667
3774,AW00014773,"Noah Ross",51,VIP,"45 - 70",2013-06-29,144,5,7016,5,5,14,1403.2000,501.1429
1129,AW00012128,"Kristy Munoz",57,VIP,"45 - 70",2013-12-04,139,9,8681,9,9,19,964.5556,456.8947
1373,AW00012372,"Darren Prasad",56,New,"45 - 70",2013-07-19,143,7,98,7,7,3,14.0000,32.6667
1336,AW00012335,"Francisco Ashe",66,New,"45 - 70",2013-03-22,147,9,6912,9,9,9,768.0000,768.0000
632,AW00011631,"Antonio Bennett",48,New,"45 - 70",2013-12-25,138,33,706,33,33,10,21.3939,70.6000
92,AW00011091,"Dalton Perez",62,New,"45 - 70",2014-01-08,138,59,1186,59,59,11,20.1017,107.8182
499,AW00011498,"Arturo Sun",45,New,"20 - 45",2014-01-09,138,30,560,30,30,10,18.6667,56.0000
224,AW00011223,"Hailey Patterson",68,New,"45 - 70",2014-01-06,138,56,1293,65,56,11,23.0893,117.5455
1761,AW00012760,"Krista Gomez",53,New,"45 - 70",2013-06-10,145,12,273,12,12,2,22.7500,136.5000
1940,AW00012939,"Eduardo Parker",54,New,"45 - 70",2014-01-27,137,13,238,13,13,10,18.3077,23.8000
2223,AW00013222,"Arturo Liu",73,New,"above 70",2013-11-06,140,9,150,9,9,7,16.6667,21.4286
2263,AW00013262,"Jaime Nara",62,New,"45 - 70",2013-09-25,141,5,87,5,5,6,17.4000,14.5000
2604,AW00013603,"Molly Martinez",69,New,"45 - 70",2013-06-10,145,6,134,6,6,2,22.3333,67.0000
3954,AW00014953,"Adrienne Gill",56,New,"45 - 70",2013-03-22,147,5,203,5,5,0,40.6000,203
2815,AW00013814,"Sarah Walker",40,New,"20 - 45",2013-04-13,146,7,230,7,7,0,32.8571,230
1145,AW00012144,"Kelly Jenkins",54,New,"45 - 70",2013-11-05,140,4,50,4,4,7,12.5000,7.1429
2431,AW00013430,"Edward Griffin",44,New,"20 - 45",2013-03-22,147,2,31,2,2,0,15.5000,31
2167,AW00013166,"Kyle Chen",43,New,"20 - 45",2013-03-22,147,2,72,2,2,0,36.0000,72
1636,AW00012635,"Brad Beck",67,New,"45 - 70",2013-03-22,147,1,50,1,1,0,50.0000,50
1175,AW00012174,"Charles Phillips",58,VIP,"45 - 70",2013-03-22,147,2,5873,2,2,15,2936.5000,391.5333
1117,AW00012116,"Amanda Gray",68,VIP,"45 - 70",2013-03-22,147,3,5933,3,3,16,1977.6667,370.8125
752,AW00011751,"Victoria Gonzales",49,VIP,"45 - 70",2013-07-17,143,6,8215,6,6,24,1369.1667,342.2917
915,AW00011914,"Meagan Rana",46,VIP,"45 - 70",2013-08-23,142,8,8166,8,8,22,1020.7500,371.1818
896,AW00011895,"Dustin Chander",50,VIP,"45 - 70",2013-07-25,143,5,8149,5,5,22,1629.8000,370.4091
583,AW00011582,"Claudia Ma",51,New,"45 - 70",2013-03-23,147,3,4379,3,3,3,1459.6667,1459.6667
577,AW00011576,"Micah Zhu",54,New,"45 - 70",2013-03-23,147,3,4486,3,3,3,1495.3333,1495.3333
960,AW00011959,"Elizabeth Davis",46,New,"45 - 70",2013-11-10,140,4,139,4,4,7,34.7500,19.8571
784,AW00011783,"Sara Mitchell",42,New,"20 - 45",2013-05-11,146,4,110,4,4,1,27.5000,110.0000
74,AW00011073,"Amy Ye",63,New,"45 - 70",2013-08-21,142,10,192,10,10,4,19.2000,48.0000
75,AW00011074,"Levi Arun",63,New,"45 - 70",2013-05-27,145,7,94,7,7,2,13.4286,47.0000
1993,AW00012992,"Ernest Zeng",45,New,"20 - 45",2013-08-08,143,9,158,9,9,4,17.5556,39.5000
15,AW00011014,"Sydney Bennett",51,New,"45 - 70",2013-04-30,146,6,138,6,6,1,23.0000,138.0000
201,AW00011200,"Jason Griffin",72,New,"above 70",2014-01-20,137,55,1461,55,55,11,26.5636,132.8182
2496,AW00013495,"Micheal Alvarez",57,New,"45 - 70",2013-04-18,146,5,58,5,5,0,11.6000,58
1833,AW00012832,"Douglas Prasad",55,New,"45 - 70",2013-03-23,147,2,40,2,2,0,20.0000,40
1236,AW00012235,"Donna Rai",76,New,"above 70",2013-07-06,144,4,62,4,4,3,15.5000,20.6667
1513,AW00012512,"Carolyn Gomez",41,New,"20 - 45",2013-03-23,147,1,9,1,1,0,9.0000,9
2907,AW00013906,"Courtney Evans",49,New,"45 - 70",2013-03-23,147,3,3021,3,3,5,1007.0000,604.2000
2987,AW00013986,"Chloe Anderson",40,Regular,"20 - 45",2013-03-23,147,4,1893,4,4,14,473.2500,135.2143
970,AW00011969,"Randy Xu",61,VIP,"45 - 70",2013-08-16,142,6,8173,6,6,21,1362.1667,389.1905
101,AW00011100,"Latasha Navarro",59,VIP,"45 - 70",2013-08-07,143,7,8172,7,7,27,1167.4286,302.6667
1318,AW00012317,"Carl She",66,New,"45 - 70",2013-03-24,147,9,6823,9,9,8,758.1111,852.8750
599,AW00011598,"Meredith Ruiz",41,Regular,"20 - 45",2013-03-24,147,5,4548,5,5,12,909.6000,379.0000
837,AW00011836,"Garrett Travers",54,New,"45 - 70",2013-04-22,146,2,70,2,2,0,35.0000,70
2869,AW00013868,"Shelby Morris",49,New,"45 - 70",2013-03-24,147,2,31,2,2,0,15.5000,31
323,AW00011322,"Sydney Garcia",81,New,"above 70",2013-05-21,145,4,44,4,4,1,11.0000,44.0000
538,AW00011537,"Dakota Ross",61,VIP,"45 - 70",2013-03-24,147,2,5873,2,2,18,2936.5000,326.2778
3703,AW00014702,"Curtis Zimmerman",47,VIP,"45 - 70",2013-10-06,141,7,6729,7,7,28,961.2857,240.3214
245,AW00011244,"Alexis Coleman",56,VIP,"45 - 70",2013-07-19,143,12,7175,12,12,29,597.9167,247.4138
2257,AW00013256,"Abby Subram",62,VIP,"45 - 70",2013-12-25,138,13,7494,13,13,12,576.4615,624.5000
1679,AW00012678,"Dana Serrano",45,New,"20 - 45",2013-05-27,145,8,341,8,8,2,42.6250,170.5000
204,AW00011203,"Luis Diaz",65,New,"45 - 70",2013-12-11,139,32,800,32,32,9,25.0000,88.8889
3329,AW00014328,"Andrea Rogers",43,New,"20 - 45",2013-10-03,141,15,308,15,15,7,20.5333,44.0000
210,AW00011209,"Allison Evans",71,New,"above 70",2014-01-22,137,2,37,2,2,9,18.5000,4.1111
306,AW00011305,"Sean Evans",59,New,"45 - 70",2013-08-04,143,4,77,4,4,4,19.2500,19.2500
1845,AW00012844,"Gerald Gonzalez",54,New,"45 - 70",2013-03-25,147,2,57,2,2,0,28.5000,57
961,AW00011960,"Ana Griffin",46,New,"45 - 70",2013-07-28,143,3,75,3,3,4,25.0000,18.7500
2032,AW00013031,"Hunter Shan",42,New,"20 - 45",2013-03-25,147,1,22,1,1,0,22.0000,22
1440,AW00012439,"Megan Bennett",63,New,"45 - 70",2013-03-25,147,4,125,4,4,0,31.2500,125
540,AW00011539,"Justin Washington",54,VIP,"45 - 70",2013-03-25,147,6,5997,6,6,18,999.5000,333.1667
1163,AW00012162,"Luke Mitchell",50,VIP,"45 - 70",2013-03-25,147,4,5913,4,4,16,1478.2500,369.5625
1083,AW00012082,"Lauren Sanchez",73,VIP,"above 70",2013-03-25,147,4,5913,4,4,16,1478.2500,369.5625
3526,AW00014525,"Claudia Sun",42,VIP,"20 - 45",2013-10-26,140,6,6665,6,6,30,1110.8333,222.1667
910,AW00011909,"Nichole She",53,VIP,"45 - 70",2013-08-01,143,7,8105,7,7,22,1157.8571,368.4091
3887,AW00014886,"Sydney Powell",60,New,"45 - 70",2013-03-25,147,1,540,1,1,0,540.0000,540
428,AW00011427,"Desiree Dominguez",66,VIP,"45 - 70",2013-10-20,140,9,9918,9,9,22,1102.0000,450.8182
1777,AW00012776,"Blake Campbell",64,New,"45 - 70",2014-01-21,137,5,86,5,5,9,17.2000,9.5556
1371,AW00012370,"Preston Perez",56,New,"45 - 70",2013-06-02,145,6,61,6,6,3,10.1667,20.3333
2138,AW00013137,"Jacqueline Simmons",59,New,"45 - 70",2013-06-19,144,6,178,6,6,2,29.6667,89.0000
809,AW00011808,"James Parker",50,New,"45 - 70",2013-10-25,140,14,609,14,14,6,43.5000,101.5000
712,AW00011711,"Daniel Davis",51,New,"45 - 70",2014-01-26,137,55,1104,55,55,11,20.0727,100.3636
1985,AW00012984,"Adam Young",61,New,"45 - 70",2013-10-29,140,11,200,11,11,8,18.1818,25.0000
3866,AW00014865,"Austin Coleman",49,New,"45 - 70",2013-03-26,147,1,30,1,1,0,30.0000,30
2494,AW00013493,"Valerie Zhao",55,New,"45 - 70",2013-04-24,146,4,49,4,4,0,12.2500,49
1945,AW00012944,"Jose Jai",54,New,"45 - 70",2013-09-04,142,10,164,10,10,5,16.4000,32.8000
2991,AW00013990,"Stephanie Wood",41,Regular,"20 - 45",2013-03-26,147,4,1893,4,4,14,473.2500,135.2143
1156,AW00012155,"Gabriella Lopez",57,VIP,"45 - 70",2013-03-26,147,4,5930,4,4,16,1482.5000,370.6250
965,AW00011964,"Sharon Salavaria",58,VIP,"45 - 70",2013-08-09,143,6,8173,6,6,21,1362.1667,389.1905
905,AW00011904,"Kaylee Cook",39,VIP,"20 - 45",2013-07-01,144,7,8214,7,7,21,1173.4286,391.1429
906,AW00011905,"Isaiah Ramirez",50,VIP,"45 - 70",2013-07-06,144,7,8156,7,7,22,1165.1429,370.7273
550,AW00011549,"Crystal Liang",45,VIP,"20 - 45",2013-12-12,138,9,7024,9,9,23,780.4444,305.3913
859,AW00011858,"Jordan Coleman",57,New,"45 - 70",2013-07-12,143,2,85,2,2,3,42.5000,28.3333
151,AW00011150,"Russell Shen",78,New,"above 70",2013-07-15,143,8,192,8,8,3,24.0000,64.0000
502,AW00011501,"Brandy Chandra",44,New,"20 - 45",2014-01-22,137,33,871,33,33,9,26.3939,96.7778
506,AW00011505,"Jasmine Powell",53,New,"45 - 70",2013-12-24,138,36,845,36,36,10,23.4722,84.5000
2763,AW00013762,"Gavin Long",60,New,"45 - 70",2014-01-05,138,12,230,12,12,9,19.1667,25.5556
3712,AW00014711,"Deborah Xu",48,New,"45 - 70",2013-03-27,147,2,72,2,2,0,36.0000,72
2677,AW00013676,"George Kapoor",39,New,"20 - 45",2013-08-20,142,4,69,4,4,4,17.2500,17.2500
2433,AW00013432,"Dalton Wood",47,New,"45 - 70",2013-03-27,147,2,57,2,2,0,28.5000,57
2297,AW00013296,"Seth Anderson",58,New,"45 - 70",2013-03-27,147,1,22,1,1,0,22.0000,22
441,AW00011440,"Sergio Weber",72,New,"above 70",2013-03-27,147,2,78,2,2,0,39.0000,78
27,AW00011026,"Harold Sai",73,VIP,"above 70",2013-10-15,140,7,6575,7,7,32,939.2857,205.4688
968,AW00011967,"Latasha Munoz",62,VIP,"45 - 70",2013-08-07,143,6,8153,6,6,21,1358.8333,388.2381
899,AW00011898,"Angela Henderson",49,VIP,"45 - 70",2013-07-23,143,6,8179,6,6,22,1363.1667,371.7727
1000,AW00011999,"Johnny Shan",59,VIP,"45 - 70",2013-08-02,143,9,7043,9,9,20,782.5556,352.1500
549,AW00011548,"Raymond Sanchez",51,VIP,"45 - 70",2013-11-11,140,9,7068,9,9,23,785.3333,307.3043
434,AW00011433,"Maurice Shan",68,New,"45 - 70",2013-09-14,141,12,12914,13,12,9,1076.1667,1434.8889
2171,AW00013170,"Sebastian Reed",48,New,"45 - 70",2013-04-24,146,4,231,4,4,0,57.7500,231
1751,AW00012750,"Teresa Vazquez",49,VIP,"45 - 70",2013-10-28,140,6,6492,6,6,24,1082.0000,270.5000
214,AW00011213,"Stephanie Murphy",70,New,"45 - 70",2013-09-09,142,4,77,4,4,5,19.2500,15.4000
216,AW00011215,"Ana Perry",64,New,"45 - 70",2013-12-15,138,32,1154,32,32,10,36.0625,115.4000
3532,AW00014531,"Abigail Garcia",57,New,"45 - 70",2013-03-28,147,7,191,7,7,1,27.2857,191.0000
567,AW00011566,"April Shan",52,New,"45 - 70",2014-01-07,138,58,1002,58,58,11,17.2759,91.0909
2184,AW00013183,"Christian Jenkins",77,New,"above 70",2013-03-28,147,3,196,3,3,0,65.3333,196
2980,AW00013979,"Chloe Jenkins",40,New,"20 - 45",2013-03-28,147,3,3282,3,3,3,1094.0000,1094.0000
765,AW00011764,"Jessie Ramos",52,VIP,"45 - 70",2013-07-07,144,6,8129,6,6,21,1354.8333,387.0952
893,AW00011892,"Julio Ortega",50,VIP,"45 - 70",2013-07-22,143,5,8119,5,5,22,1623.8000,369.0455
363,AW00011362,"Damien Shan",42,New,"20 - 45",2013-09-24,141,3,77,3,3,5,25.6667,15.4000
1250,AW00012249,"Jessie Cai",41,New,"20 - 45",2013-10-21,140,4,115,4,4,6,28.7500,19.1667
3926,AW00014925,"Ashley Hughes",51,New,"45 - 70",2013-03-29,147,2,2722,2,2,10,1361.0000,272.2000
154,AW00011153,"Angela James",43,New,"20 - 45",2013-03-29,147,5,110,5,5,0,22.0000,110
254,AW00011253,"Josâ”œÂ® Hernandez",75,New,"above 70",2013-12-03,139,30,695,30,30,9,23.1667,77.2222
178,AW00011177,"Jose Flores",77,New,"above 70",2013-10-14,140,6,135,6,6,6,22.5000,22.5000
1364,AW00012363,"Kayla Thompson",78,New,"above 70",2013-10-01,141,11,274,11,11,6,24.9091,45.6667
393,AW00011392,"Willie Zhao",44,New,"20 - 45",2013-03-29,147,1,29,1,1,0,29.0000,29
1310,AW00012309,"Omar Raje",65,New,"45 - 70",2013-05-14,145,4,101,4,4,1,25.2500,101.0000
1186,AW00012185,"Kaitlyn Patterson",59,New,"45 - 70",2013-04-15,146,4,50,4,4,0,12.5000,50
891,AW00011890,"Whitney Lopez",61,New,"45 - 70",2013-07-05,144,6,130,6,6,3,21.6667,43.3333
1952,AW00012951,"Blake Simmons",50,New,"45 - 70",2013-03-29,147,2,31,2,2,0,15.5000,31
1194,AW00012193,"Caleb Simmons",65,New,"45 - 70",2013-07-07,144,6,4833,6,6,3,805.5000,1611.0000
3158,AW00014157,"Willie Xu",45,VIP,"20 - 45",2013-10-28,140,4,6650,4,4,30,1662.5000,221.6667
897,AW00011896,"Frank Carlson",50,VIP,"45 - 70",2013-07-11,144,6,8118,6,6,22,1353.0000,369.0000
1641,AW00012640,"Angel Richardson",60,New,"45 - 70",2013-04-27,146,6,6752,6,6,7,1125.3333,964.5714
459,AW00011458,"Bianca Liu",46,New,"45 - 70",2014-01-18,137,7,97,7,7,9,13.8571,10.7778
3233,AW00014232,"Omar Huang",43,New,"20 - 45",2013-05-12,145,3,77,3,3,1,25.6667,77.0000
759,AW00011758,"Colin Yuan",45,New,"20 - 45",2013-11-24,139,5,57,5,5,7,11.4000,8.1429
